Number,Timestamp,Gender,Age,Breed,Household Cats,Housing,Area,Ext,Obs,Shy,Calm,Scared,Intelligent,Vigilent,Persistent,Affectionate,Friendly,Solitary,Rough,Dominant,Aggressive,Impulsive,Predictable,Distracted,Abundance,PredBirds,PredMamm,Additional Comments
3070,1444,2,0,5,1,1,2,2,2,1,2,1,4,2,4,5,2,1,5,1,1,4,1,4,0,0,0,292
2698,637,1,2,5,0,3,2,2,3,4,4,1,4,4,4,2,2,3,2,4,3,4,4,3,0,0,1,292
520,1472,1,2,5,2,2,1,3,1,4,4,4,4,4,4,4,1,4,3,1,4,4,1,3,2,2,4,292
1198,816,2,0,5,0,3,0,0,2,2,4,3,4,4,4,5,4,2,2,2,3,2,4,4,2,0,0,292
853,29,1,3,5,0,2,0,3,2,1,3,4,5,5,5,4,4,2,1,1,1,1,4,1,2,1,2,292
2758,769,1,0,5,0,3,2,0,2,1,4,3,5,3,2,5,5,3,1,1,3,1,4,4,0,0,0,292
118,803,2,3,5,3,0,2,0,2,4,5,2,5,5,3,5,2,5,1,1,1,1,3,3,3,0,0,292
454,865,2,3,5,3,2,2,2,2,2,2,2,1,1,1,1,2,1,2,2,2,2,2,1,2,2,3,292
1257,920,1,2,5,2,2,0,3,2,5,2,1,3,4,3,2,3,1,2,1,1,5,3,4,2,0,1,292
2855,950,1,0,5,1,0,2,0,2,1,2,2,5,5,5,5,3,2,1,1,1,2,5,2,0,0,0,292
2981,1235,1,1,5,0,0,2,0,3,5,3,3,5,3,4,5,2,2,1,1,3,2,4,3,0,0,0,292
291,130,2,3,5,0,2,1,3,2,1,4,2,5,5,5,4,3,4,2,5,3,2,4,2,2,3,4,292
1915,433,1,3,5,2,2,1,1,3,4,4,2,5,4,2,4,4,2,4,1,1,2,5,5,1,0,0,292
3089,1481,2,3,5,0,1,0,2,3,4,2,3,5,4,5,4,2,4,3,4,3,4,4,3,0,0,0,103
2385,1497,2,3,5,0,1,0,0,3,3,5,3,5,5,5,5,5,3,1,2,3,3,4,3,1,0,4,292
125,873,1,3,5,3,0,1,0,1,3,5,3,4,1,1,4,5,3,1,1,3,1,4,5,3,0,0,292
672,844,1,3,5,5,2,1,2,2,4,4,1,5,5,4,5,2,1,1,4,3,1,4,1,2,1,3,292
1723,1141,2,1,5,0,3,1,2,2,4,4,4,2,4,4,4,2,4,4,4,4,4,3,3,1,1,1,232
2052,726,2,3,5,0,3,1,3,2,1,5,2,5,3,3,5,5,2,1,1,2,1,2,4,1,0,0,207
2659,552,2,3,5,3,3,0,0,2,3,4,1,5,4,4,4,2,2,1,4,2,3,4,2,0,0,0,292
3092,1487,1,0,5,4,1,0,0,3,1,4,1,4,3,4,4,4,1,4,3,1,1,1,3,0,0,0,292
2089,823,2,0,5,1,0,2,0,3,4,4,3,4,4,5,4,1,3,2,4,2,4,5,4,1,0,0,203
580,370,1,3,5,3,3,0,3,2,1,3,1,4,4,4,3,3,4,4,4,4,4,2,2,2,1,2,292
644,715,2,3,5,0,2,1,3,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,1,2,1,4,292
2507,140,1,3,5,0,0,1,0,3,2,2,3,2,2,2,2,1,1,1,2,2,1,2,2,0,0,0,292
34,287,1,0,5,1,3,0,0,2,1,2,2,5,5,5,4,4,3,1,2,2,2,2,2,3,0,0,292
3091,1486,1,0,5,0,1,2,2,2,5,2,3,4,4,4,5,5,2,1,1,3,1,1,2,0,0,0,292
89,601,1,2,5,1,3,1,0,3,4,4,3,4,5,5,5,3,2,2,4,2,2,5,5,3,0,0,292
2645,532,2,3,5,0,1,2,0,2,4,4,3,4,2,3,5,1,2,1,3,3,1,5,4,0,0,0,292
680,881,2,1,5,0,3,1,3,2,4,4,2,5,5,5,4,2,4,2,4,4,2,3,2,2,1,4,79
370,1442,2,3,5,1,3,1,3,2,4,3,3,4,4,4,3,1,2,3,3,2,4,2,3,2,3,4,292
1612,541,1,0,5,0,2,0,2,3,3,2,1,5,5,5,4,2,4,2,3,1,3,4,4,1,2,2,292
2780,820,1,3,5,3,1,2,1,2,4,5,1,4,5,3,4,5,3,1,1,1,1,1,3,0,0,0,133
2101,855,2,0,5,1,3,1,1,2,3,2,3,5,3,3,5,3,3,1,3,3,3,3,3,1,0,0,200
1590,658,2,2,5,1,2,1,3,2,2,2,1,2,2,2,2,2,2,1,2,1,3,2,1,1,3,4,292
404,530,2,0,5,2,2,2,3,3,4,3,3,4,5,5,5,4,2,1,3,3,3,4,4,2,2,0,292
2909,1070,1,3,5,0,1,2,0,3,4,5,2,5,5,4,5,3,2,1,4,3,1,4,4,0,0,0,292
510,1408,1,3,5,0,2,0,3,2,3,2,3,5,5,5,4,2,4,1,5,3,2,4,2,2,2,4,292
2061,741,2,0,5,0,3,0,1,2,2,2,2,5,4,5,4,4,2,2,4,4,5,4,3,1,0,0,205
2003,616,2,0,5,0,1,2,1,2,2,4,2,4,4,3,4,4,3,1,1,1,1,4,4,1,0,0,292
2470,1357,1,2,5,1,1,2,2,1,4,4,4,3,4,4,4,3,3,2,2,4,2,4,3,0,1,2,292
652,759,2,3,5,0,2,1,3,2,4,4,2,4,5,4,4,3,2,3,3,3,4,4,3,2,1,3,83
1695,878,1,3,5,0,3,0,2,2,4,3,3,4,5,5,5,4,4,1,3,3,3,3,2,1,1,0,237
1793,116,1,2,5,0,2,1,1,1,1,1,3,4,4,4,4,5,4,4,4,3,4,3,3,1,0,0,292
1796,120,1,0,5,0,3,2,0,2,1,3,3,5,4,4,5,5,1,1,1,3,3,3,3,1,0,0,227
259,676,2,1,5,1,3,1,3,2,2,3,2,4,4,4,3,3,4,3,4,3,4,3,3,2,4,4,292
583,389,1,2,5,5,2,1,4,2,1,5,1,5,2,3,5,3,1,1,1,1,1,5,3,2,1,1,292
1157,724,1,1,5,0,2,1,0,2,5,5,4,4,5,3,5,2,2,1,2,5,2,4,4,2,0,0,292
318,665,1,3,5,5,3,2,3,2,1,5,3,5,1,3,4,5,4,3,3,5,3,4,3,2,3,3,292
1982,582,2,1,5,0,1,1,0,2,4,5,5,4,4,4,5,4,2,1,5,5,3,4,3,1,0,0,292
1046,539,1,2,5,0,2,1,2,2,4,4,5,4,3,3,5,4,3,2,2,3,2,4,3,2,0,3,292
1669,614,2,2,5,0,3,0,0,2,2,3,3,4,4,3,5,4,3,1,1,2,1,4,3,1,1,1,292
2008,623,2,2,5,0,0,2,0,3,2,2,2,2,2,2,2,2,1,1,1,1,1,3,3,1,0,0,292
315,639,2,3,5,0,3,0,2,2,1,3,2,5,4,5,5,5,2,3,4,3,4,3,4,2,3,3,292
1228,870,1,3,5,1,3,0,2,2,4,4,2,4,5,5,5,4,1,1,1,1,3,3,3,2,0,3,292
702,961,1,2,5,1,2,0,3,2,1,2,1,4,4,4,3,3,3,4,3,1,4,4,4,2,1,3,77
1521,1501,2,1,5,5,2,1,1,2,1,1,1,3,1,4,4,4,1,2,3,3,1,4,3,2,0,0,292
1974,576,2,0,5,0,1,2,1,2,3,3,3,4,4,4,4,3,3,4,4,3,4,4,4,1,0,0,292
245,230,2,3,5,5,2,1,3,2,2,2,2,4,5,5,4,2,4,2,4,2,1,4,2,2,4,4,292
1622,968,2,1,5,1,3,1,3,1,1,5,4,5,5,4,4,5,4,1,1,1,1,4,3,1,2,2,292
1095,628,1,3,5,0,2,1,1,2,2,2,5,5,4,5,4,2,4,4,4,4,4,4,4,2,0,0,292
2334,1374,1,3,5,0,1,1,1,1,2,5,3,4,4,4,4,4,4,3,4,2,3,4,3,1,0,0,292
2359,1425,2,1,5,0,2,2,2,2,2,4,1,5,4,4,5,4,1,1,1,1,1,4,1,1,0,0,292
1151,717,1,2,5,0,2,1,3,2,5,5,1,5,5,3,3,3,3,1,3,1,4,3,3,2,0,3,292
1079,592,2,3,5,3,3,1,0,3,1,3,1,3,1,5,4,4,1,3,4,1,5,3,5,2,0,0,292
1715,1034,2,3,5,1,3,1,2,2,4,4,3,4,4,3,4,2,2,2,2,3,2,4,4,1,1,4,234
2680,598,2,0,5,1,1,2,2,2,1,1,1,5,3,4,5,5,1,1,1,1,4,4,4,0,0,0,145
1025,499,1,3,5,0,2,0,0,2,5,5,3,5,3,3,5,2,4,1,1,3,3,3,5,2,0,0,41
2196,1064,2,2,5,2,1,0,3,1,2,4,2,4,3,3,5,4,1,1,1,1,1,4,3,1,0,0,194
553,143,2,0,5,4,3,2,3,2,2,2,3,4,4,4,5,4,3,1,1,1,3,3,4,2,1,1,292
3022,1343,1,2,5,1,1,2,2,2,2,4,4,5,5,3,5,2,2,2,3,3,4,3,3,0,0,0,292
2188,1039,2,2,5,1,3,0,2,2,1,1,1,4,3,4,4,4,3,3,4,4,4,4,4,1,0,0,292
806,1413,2,3,5,2,2,2,3,2,2,4,1,5,5,5,5,3,2,1,1,1,1,1,1,2,1,4,292
447,812,1,1,5,2,3,2,3,2,4,2,4,4,4,2,5,3,2,3,2,1,5,4,1,2,2,2,92
2519,155,2,3,5,0,1,0,2,2,2,4,3,5,5,5,5,4,1,2,2,3,2,4,4,0,0,0,157
2480,64,1,1,5,5,1,2,1,3,1,3,3,5,3,4,5,4,3,1,1,1,3,3,3,0,0,0,292
773,1289,1,3,5,1,2,1,2,2,5,4,4,3,4,2,3,3,3,1,3,4,4,2,2,2,1,1,292
83,567,1,0,5,0,2,2,0,2,4,3,4,3,5,4,2,2,5,1,1,4,1,5,1,3,0,0,292
